Year,AG.LND.AGRI.ZS,EG.CFT.ACCS.ZS,EG.ELC.ACCS.ZS,EN.POP.DNST,ER.H2O.INTR.PC,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,SE.ADT.LITR.ZS,SE.PRM.ENRL,SE.PRM.ENRL.TC.ZS,SE.PRM.ENRR,SH.DYN.MORT,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.POV.DDAY,SL.UEM.TOTL.ZS,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,SP.POP.1564.TO.ZS,SP.POP.DPND,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS,GDP_per_Capita_lag1,Life_Expectancy_lag1,Crude_Birth_Rate_lag1,Pr_school_enrollment_lag1,Mortality_rate_lag1,Population_growth_rate_lag1
1984-01-01,38.138917248576774,49.29606783073938,73.35105720613188,44.26155882661376,8666.035840865618,12445989345469.062,2611.0061329460873,70.2085189819336,548740672.0,27.23172,99.6304397583008,93.0,8.622347667473873,476.66873114493177,41.1,4.996340371890472,27.438481811333848,10.043340247046688,63.52021651796131,3.5683644725833927,59.9313967953635,68.29412650782169,1.7454362642532573,4766740755.0,59.16815739928488,40.83184260071513,2555.452189984109,63.2157593749811,27.67945016101588,98.7516479492188,10.166240714720946,1.785491032695802
1985-01-01,38.40178882744221,49.29606783073938,73.35105720613188,45.03639737048826,8512.557954906251,13023992824419.732,2685.258382294315,70.8033981323242,551798016.0,27.14291,100.284317016602,93.0,8.622347667473873,476.66873114493177,39.7,4.996340371890472,27.440721182186035,9.92247452333324,63.81240262255821,3.531231013821205,60.1992610917377,67.61126640229301,1.75049586895355,4850182355.0,58.81017128972863,41.18982871027136,2611.0061329460873,63.52021651796131,27.438481811333848,99.6304397583008,10.043340247046688,1.7454362642532573
1986-01-01,38.38763150719191,49.29606783073938,73.35105720613188,45.83429819830271,8360.064182883385,15351689886643.104,3110.074370615417,71.3579177856445,555337152.0,26.93052,100.796661376953,93.0,8.622347667473873,476.66873114493177,38.4,4.996340371890472,27.556353594390625,9.73374986177912,64.20835065275762,3.5173329926611285,60.430907508512405,67.02207669206209,1.771774537743127,4936116651.0,58.44606733496598,41.55393266503402,2685.258382294315,63.81240262255821,27.440721182186035,100.284317016602,9.92247452333324,1.75049586895355
1987-01-01,38.5524445258239,49.29606783073938,73.35105720613188,46.65410998568239,8209.105125894797,17485079208341.355,3480.032257641465,72.0486831665039,557594496.0,26.83477,100.252830505371,93.0,8.622347667473873,476.66873114493177,37.5,4.996340371890472,27.462471535015258,9.563789961229404,64.51289390839285,3.487626259094046,60.612987782715166,66.5542023714835,1.7885481693815848,5024401475.0,58.07913526904914,41.92086473095086,3110.074370615417,64.20835065275762,27.556353594390625,100.796661376953,9.73374986177912,1.771774537743127
1988-01-01,38.71116564272507,49.29606783073938,73.35105720613188,47.481400851203055,8061.9222594857,19547533420110.215,3822.733788425624,73.7701568603516,564846464.0,26.6785,100.068382263184,93.0,8.622347667473873,476.66873114493177,35.7,4.996340371890472,26.983851154464293,9.529036274281976,64.68498122844785,3.3961420271685587,60.76737571546354,66.14739333591703,1.7732338954860296,5113495865.0,57.71220753810704,42.287792461892984,3480.032257641465,64.51289390839285,27.462471535015258,100.252830505371,9.563789961229404,1.7885481693815848
1989-01-01,38.816107470661585,49.29606783073938,73.35105720613188,48.31002563783307,7918.812433495447,20324144454836.453,3906.471061749815,74.303840637207,571913792.0,26.25206,99.4859771728516,93.0,8.622347667473873,476.66873114493177,38.2,4.996340371890472,26.477601277228537,9.300921780962964,65.02292628822602,3.3463484779485504,60.894351157532306,65.80300635758373,1.744221338096267,5202686551.0,57.35554117335376,42.64445882664624,3822.733788425624,64.68498122844785,26.983851154464293,100.068382263184,9.529036274281976,1.7732338954860296
1990-01-01,38.92994784329453,49.29606783073938,73.35105720613188,49.15326788057773,7777.551471229254,22822610047367.895,4311.441715590757,74.6057662963867,576747712.0,26.21584,98.2402572631836,93.0,8.622347667473873,476.66873114493177,37.9,4.996340371890472,26.052894956927073,9.26137388174831,65.1885074558445,3.3054476455182,60.97541496194303,65.56139925359679,1.7454809185563107,5293498452.0,56.99609062733009,43.00390937266991,3906.471061749815,65.02292628822602,26.477601277228537,99.4859771728516,9.300921780962964,1.744221338096267
1991-01-01,38.97328951563356,49.29606783073938,73.35105720613188,49.9801219429787,7644.132718912064,23823551632893.938,4425.996834417836,75.1987609863281,582708608.0,26.15986,97.4876022338867,92.0,8.622347667473873,476.66873114493177,37.3,4.996340371890472,25.46649530209719,9.223760207496714,65.33529375864678,3.1244174376371308,61.0618456621644,65.29833347638849,1.6839989622802136,5382640911.0,56.62797222346822,43.37202777653178,4311.441715590757,65.1885074558445,26.052894956927073,98.2402572631836,9.26137388174831,1.7454809185563107
1992-01-01,37.11346503548914,49.29606783073938,73.35105720613188,42.29743112288119,7992.369452643652,25468013295178.395,4655.712755210985,75.645751953125,588750848.0,26.12866,96.9253387451172,91.4,8.622347667473873,476.66873114493177,36.3,5.149938542275324,24.815804929725623,9.140019150963967,65.59648551324398,3.0380336371410683,61.15411326878643,65.0318934970478,1.6280241882923576,5470271607.0,56.263313368749145,43.73668663125085,4425.996834417836,65.33529375864678,25.46649530209719,97.4876022338867,9.223760207496714,1.6839989622802136
1993-01-01,37.001242512307584,49.29606783073938,73.35105720613188,42.9255973403653,7793.9066212372845,25959419035161.26,4671.705884368857,76.0596237182617,598999616.0,26.13342,97.0418395996094,90.2,8.622347667473873,476.66873114493177,35.6,5.417837097809023,24.41179558646288,9.142762251483187,65.78035307613769,2.969367926440529,61.24397939860129,64.77645145591896,1.5805559615972555,5556732311.0,55.90472167965522,44.0952783203448,4655.712755210985,65.59648551324398,24.815804929725623,96.9253387451172,9.140019150963967,1.6280241882923576
